?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000051>		
<http://purl.obolibrary.org/obo/FBbi_00000281>		
<http://purl.obolibrary.org/obo/FBbi_00000160>		
<http://purl.obolibrary.org/obo/FBbi_00000390>		
<http://purl.obolibrary.org/obo/FBbi_00000172>		
<http://purl.obolibrary.org/obo/FBbi_00000508>		
<http://purl.obolibrary.org/obo/FBbi_00000326>	"a birefringent optical element typically used to split polarized illumination into two sets of parallel but displaced rays"	
<http://purl.obolibrary.org/obo/FBbi_00000605>		
<http://purl.obolibrary.org/obo/FBbi_00000617>		
<http://purl.obolibrary.org/obo/FBbi_00000364>	"illumination in the form of a thin sheet of light directed perpendicular to the optic axis"	
<http://purl.obolibrary.org/obo/FBbi_00000066>		
<http://purl.obolibrary.org/obo/FBbi_00000296>		
<http://purl.obolibrary.org/obo/FBbi_00000175>		
<http://purl.obolibrary.org/obo/FBbi_00000187>		
<http://purl.obolibrary.org/obo/FBbi_00000054>		
<http://purl.obolibrary.org/obo/FBbi_00000151>		
<http://purl.obolibrary.org/obo/FBbi_00000042>		
<http://purl.obolibrary.org/obo/FBbi_00000272>		
<http://purl.obolibrary.org/obo/FBbi_00000163>		
<http://purl.obolibrary.org/obo/FBbi_00000030>		
<http://purl.obolibrary.org/obo/FBbi_00000266>	"methods and devices used for creating images by some form of artwork, as distinct from capturing images by means of some recording device"	
<http://purl.obolibrary.org/obo/FBbi_00000199>		
<http://purl.obolibrary.org/obo/FBbi_00000078>		
<http://purl.obolibrary.org/obo/FBbi_00000041>	"The staining method involves application of hemalum, which is a complex formed from aluminium ions and oxidized haematoxylin. This colors nuclei of cells (and a few other objects, such as keratohyalin granules) blue. The staining of nuclei by hemalum does not require the presence of DNA and is probably due to binding of the dye-metal complex to arginine-rich basic nucleoproteins such as histones. The mechanism is different from that of nuclear staining by basic (cationic) dyes such as thionine or toluidine blue. Staining by basic dyes is prevented by chemical or enzymatic extraction of nucleic acids. Such extractions do not prevent staining of nuclei by hemalum."	
<http://purl.obolibrary.org/obo/FBbi_00000260>		"http://en.wikipedia.org/wiki/X-ray_microscope"
<http://purl.obolibrary.org/obo/FBbi_00000381>		
<http://purl.obolibrary.org/obo/FBbi_00000490>		
<http://purl.obolibrary.org/obo/FBbi_00000608>		
<http://purl.obolibrary.org/obo/BFO_0000020>	"b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])"@en	
<http://purl.obolibrary.org/obo/FBbi_00000077>		
<http://purl.obolibrary.org/obo/FBbi_00000186>		
<http://purl.obolibrary.org/obo/FBbi_00000198>		
<http://purl.obolibrary.org/obo/FBbi_00000065>		
<http://purl.obolibrary.org/obo/FBbi_00000053>		
<http://purl.obolibrary.org/obo/FBbi_00000283>		
<http://purl.obolibrary.org/obo/FBbi_00000162>		
<http://purl.obolibrary.org/obo/FBbi_00000295>		
<http://purl.obolibrary.org/obo/FBbi_00000174>		
<http://purl.obolibrary.org/obo/FBbi_00000150>		
<http://purl.obolibrary.org/obo/FBbi_00000271>		
<http://purl.obolibrary.org/obo/FBbi_00000380>		
<http://purl.obolibrary.org/obo/FBbi_00000607>		
<http://purl.obolibrary.org/obo/FBbi_00000619>		
<http://purl.obolibrary.org/obo/FBbi_00000096>		
<http://purl.obolibrary.org/obo/FBbi_00000257>	"image is formed by scanning the surface of the specimen with a beam of electrons in a raster pattern"	
<http://purl.obolibrary.org/obo/FBbi_00000454>	"fluorophore derivative of rhodamine with ex/em 547/572"	
<http://purl.obolibrary.org/obo/FBbi_00000193>		
<http://purl.obolibrary.org/obo/FBbi_00000084>		
<http://purl.obolibrary.org/obo/FBbi_00000072>		
<http://purl.obolibrary.org/obo/FBbi_00000060>		
<http://purl.obolibrary.org/obo/FBbi_00000181>		
<http://purl.obolibrary.org/obo/FBbi_00000289>	"Multiple points of illumination generated by a fixed array of sources."	
<http://purl.obolibrary.org/obo/FBbi_00000602>		
<http://purl.obolibrary.org/obo/FBbi_00000505>		
<http://purl.obolibrary.org/obo/FBbi_00000614>		
